index;x;y;z
330;0.753433;0.301361;-0.457336
331;0.395966;0.607803;-0.823410
332;0.791412;0.252106;-1.059189
333;0.115631;0.437927;-1.003967
334;0.559311;0.241714;-1.168427
335;-0.412338;-0.032761;-0.827271
336;0.337173;-0.000473;-1.010803
337;0.154785;-0.227921;-0.791931
338;0.034836;-0.237030;-0.563950
339;0.201004;-0.253250;-0.952362
340;0.134354;-0.225693;-0.965317
341;0.103119;-0.329514;-0.864334
342;-0.032120;0.013489;-1.103836
343;0.113235;-0.177322;-1.186371
344;-0.064713;-0.101913;-0.907303
345;-0.047256;-0.222092;-0.870102
346;-0.058487;-0.138046;-1.008224
347;-0.108200;-0.130630;-1.022385
348;-0.120956;-0.161743;-0.990448
349;-0.102463;-0.137497;-0.924271
